,income_t-1,income_t-2,income_t-3,income_t-4,income_t-5,income_t-6
Kerken,892.89,925.63,992.39,860.66,740.3,740.3
Horstmar,1052.39,990.95,1036.4,941.69,663.26,663.26
Barntrup,996.49,994.87,1058.83,889.46,730.5,730.5
Ascheberg,997.86,1007.37,983.87,906.93,547.35,547.35
Wenden,1039.7,925.31,935.61,830.6,676.43,676.43
Drolshagen,1116.14,915.39,936.85,815.33,651.78,651.78
Geseke,851.01,905.39,1005.41,877.61,651.3,651.3
Kevelaer,968.17,1003.94,917.05,898.04,741.37,741.37
Hille,987.37,1028.05,1027.45,925.59,722.95,722.95
Heinsberg,1024.39,1003.54,941.23,925.52,686.84,686.84
Goch,1015.88,1038.24,1014.36,980.94,765.56,765.56
Neuenrade,1094.72,946.49,972.96,828.49,621.36,621.36
Loehne,1117.21,1103.08,1141.67,1001.05,765.14,765.14
Windeck,848.83,825.63,809.01,822.2,580.27,580.27
Mettingen,1034.67,1064.37,1130.89,987.34,750.29,750.29
Muenster,1030.53,995.18,1071.78,956.6,559.88,559.88
Alfter,903.65,880.04,882.29,917.28,521.01,521.01
Rheurdt,937.4,956.43,1007.8,878.86,733.59,733.59
Rheine,994.78,1006.3,1062.3,941.69,708.45,708.45
Augustdorf,848.13,905.61,939.91,808.36,661.74,661.74
Stemwede,823.19,979.34,993.05,895.88,639.39,639.39
Troisdorf,894.21,896.02,992.42,926.96,600.99,600.99
LangenfeldRhld,933.77,944.11,1083.03,983.3,654.19,654.19
Extertal,1095.7,1032.34,1077.64,885.86,769.39,769.39
Metelen,1175.57,1060.76,1120.04,994.16,737.7,737.7
Wipperfuerth,742.11,635.63,671.89,593.07,349.53,349.53
Schoeppingen,1015.77,958.5,994.47,936.34,641.59,641.59
Uedem,1075.8,1048.39,1023.29,992.96,799.9,799.9
FroendenbergRuhr,1217.58,1026.3,1097.29,962.74,719.91,719.91
Coesfeld,860.05,931.08,977.32,937.82,608.55,608.55
Kalkar,1071.49,1056.77,1020.07,996.98,784.83,784.83
Sassenberg,1166.12,1070.4,1063.2,956.22,724.36,724.36
Viersen,976.65,995.11,973.69,922.93,718.7,718.7
Buende,1085.65,1083.98,1139.18,1000.72,790.94,790.94
Oelde,869.8,987.78,928.15,891.35,594.52,594.52
SchiederSchwalenberg,1048.04,1034.06,1106.18,932.25,791.69,791.69
Spenge,1165.49,1102.75,1147.76,1002.43,816.17,816.17
Wesel,1005.22,1027.64,942.29,971.22,742.48,742.48
WickedeRuhr,1257.52,1097.06,1182.44,1022.13,742.24,742.24
Steinhagen,932.13,1004.34,1003.9,920.98,646.02,646.02
Bielefeld,1037.76,1025.24,1089.75,946.61,721.76,721.76
Olpe,1107.22,920.7,932.25,812.11,674.83,674.83
Werdohl,1099.86,952.34,994.4,854.49,626.04,626.04
Kamen,1156.52,1057.62,1040.91,997.15,714.45,714.45
Emsdetten,996.2,998.38,1041.47,933.99,669.77,669.77
Brakel,968.48,1004.87,1033.04,894.05,710.55,710.55
Roedinghausen,1160.5,1127.52,1167.22,1026.88,835.33,835.33
Xanten,989.21,991.31,926.81,923.24,738.95,738.95
Haan,1008.48,997.03,1133.8,1015.39,720.96,720.96
HalleWestf,1074.65,1038.2,1063.9,940.34,707.31,707.31
Gladbeck,1035.88,981.34,1028.27,961.24,663.51,663.51
Heimbach,687.19,665.9,723.27,657.02,460.42,460.42
Beelen,1115.21,1055.93,1047.08,951.94,697.57,697.57
Medebach,899.87,751.56,760.45,659.96,495.83,495.83
NachrodtWiblingwerde,1177.19,958.93,985.53,856.31,653.32,653.32
HornBadMeinberg,948.47,935.08,1000.97,841.55,717.34,717.34
Warstein,993,948.54,973.08,841.02,637.19,637.19
Luegde,961.05,983.91,1028.88,897.2,745.7,745.7
Luedenscheid,1133.26,909.42,947.91,799.21,640.63,640.63
Schwalmtal,943.83,1001.88,914.75,910.64,711.59,711.59
Gummersbach,694.39,630.27,651.39,592.79,330.23,330.23
Ahlen,931.58,934.96,824.87,842.86,452.2,452.2
Senden,995.81,1003.5,1010.11,947.85,520.37,520.37
Werne,1099.19,1048.5,1061.2,975,662.43,662.43
Iserlohn,1184.78,1003.31,1046.52,924.09,677.99,677.99
Titz,1007.31,984.17,1006.76,999.02,700.9,700.9
Enger,1165.42,1116.91,1171.81,1014.34,818.57,818.57
Herford,1129.4,1096.98,1173.87,1002.93,778.96,778.96
Recke,998.87,1025.95,1109.94,964.37,726.03,726.03
Finnentrop,1106.26,947.86,985.67,847.71,672.98,672.98
Waldfeucht,1029.34,1013.86,945.22,931.88,703.29,703.29
RhedaWiedenbrueck,969.41,1022.62,1005.56,932.45,663.97,663.97
Brueggen,861.54,996.5,812.82,829.12,680.3,680.3
