,,,'Alopecurus myo','Digitaria isch','Echinochloa cr','Elymus repens','Poa annua L.','Setaria viridi','Amaranthus ret','Atriplex patul','Brassica napus','Capsella bursa','Chenopodium al','Cirsium arvens','Convolvulus ar','Equisetum arve','Fallopia convo','Fumaria offici','Galinsoga parv','Galium aparine','Geranium pusil','Lamium album L.','Matricaria rec','Mercurialis an','Persicaria lap','Persicaria mac','Polygonum avic','Rumex obtusifo','Solanum nigrum','Sonchus arvens','Stellaria medi','Thlaspi arvens','Veronica arven','Viola arvensis'
Nothing,WeatherDuesseldorf,tt2008,-343.8,208.7,-46.2,-323.3,-384.8,208.7,-52.5,-173.2,-578.2,-564.2,-564.2,-282.3,-243.2,-302.8,-282.3,-302.8,-96.2,-395.3,-243.2,-364.3,-494.8,-96.2,-134.7,-138,-425.8,-81.9,-80.8,-129.2,-282.3,-405.3,-428.3,-303.4
Nothing,WeatherDuesseldorf,tt2009,-392.7,225.1,-10.8,-374.2,-429.7,225.1,-14.3,-89.3,-621.5,-607.9,-607.9,-337.2,-300.2,-355.7,-337.2,-355.7,-40.3,-437.9,-300.2,-411.2,-539.9,-40.3,-64.8,-66.9,-466.7,-31.2,-30.5,-61.3,-337.2,-448.2,-471.9,-341.6
Nothing,WeatherDuesseldorf,tt2010,-333.3,114.9,-1.4,-310.3,-379.3,114.9,-2.8,-140.5,-592.6,-578.6,-578.6,-264.3,-218.3,-287.3,-264.3,-287.3,-29.9,-410,-218.3,-356.3,-510.1,-29.9,-84.5,-89.3,-425.3,-15.9,-15,-76.5,-264.3,-402.3,-443.1,-311.6
Nothing,WeatherDuesseldorf,tt2011,-365,270.5,-1.5,-347.5,-400,270.5,-2.6,-51.2,-611.9,-598.7,-598.7,-312.5,-277.5,-330,-312.5,-330,-16.2,-440.3,-277.5,-382.5,-533.8,-16.2,-33.7,-35.2,-435,-10,-9.6,-31.2,-312.5,-417.5,-470.4,-351.6
Nothing,WeatherDuesseldorf,tt2012,-355.8,181.3,-36.8,-333.3,-400.8,181.3,-43.1,-194.6,-684.5,-669.3,-669.3,-288.3,-243.7,-310.8,-288.3,-310.8,-89.6,-479.3,-243.7,-378.3,-593.3,-89.6,-142.1,-146.6,-445.8,-71.2,-69.9,-134.6,-288.3,-423.3,-517.3,-367
Nothing,WeatherDuesseldorf,tt2013,-428.9,46.7,-30.7,-404.6,-480.4,46.7,-41.8,-278.8,-594.4,-580.6,-580.6,-357.4,-311.3,-380.9,-357.4,-380.9,-124.8,-424.7,-311.3,-454.4,-514.8,-124.8,-201.8,-208.4,-532.4,-96.2,-94,-190.8,-357.4,-506.4,-453.4,-341.3
Nothing,WeatherDuesseldorf,tt2014,-231.9,273.4,47.6,-219.9,-255.9,273.4,47.6,47.6,-520.3,-509.3,-509.3,-195.9,-171.9,-207.9,-195.9,-207.9,47.6,-371.8,-171.9,-243.9,-454.3,47.6,47.6,47.6,-279.9,47.6,47.6,47.6,-195.9,-267.9,-399.3,-292.7
Nothing,WeatherDuesseldorf,tt2015,-315.5,159.7,-21.2,-296,-354.5,159.7,-26.1,-121.9,-555.6,-541.6,-541.6,-257,-218.2,-276.5,-257,-276.5,-58.9,-366.7,-218.2,-335,-471.6,-58.9,-90.4,-93.1,-393.5,-47.3,-46.5,-85.9,-257,-374,-401.6,-269
Nothing,WeatherGreven,tt1999,-334.7,179.5,-16.9,-314.7,-374.7,179.5,-22.5,-131.5,-591.5,-577.3,-577.3,-275.5,-237.5,-294.7,-275.5,-294.7,-61.5,-400,-237.5,-354.7,-506.3,-61.5,-96.5,-99.5,-414.7,-48.5,-47.5,-91.5,-275.5,-394.7,-435.3,-303.1
Nothing,WeatherGreven,tt2000,-414.3,156.3,-67.7,-393.8,-455.3,156.3,-75.4,-196.4,-657.2,-643,-643,-353,-313,-373.3,-353,-373.3,-119.4,-466.6,-313,-434.8,-572,-119.4,-157.9,-161.2,-496.3,-105.1,-104,-152.4,-353,-475.8,-501.5,-366.6
Nothing,WeatherGreven,tt2001,-241.6,220.2,-11.2,-224,-278.2,220.2,-14,-96.1,-419.1,-406.7,-406.7,-189.4,-157.2,-206.5,-189.4,-206.5,-40.1,-266.7,-157.2,-259.7,-348.3,-40.1,-68.1,-70.5,-315.9,-29.8,-29.1,-64.1,-189.4,-296.9,-293.3,-193.5
Nothing,WeatherGreven,tt2002,-293.6,191.3,-11.9,-273.6,-333.6,191.3,-15.8,-117.8,-540.6,-526.5,-526.5,-233.6,-194.5,-253.6,-233.6,-253.6,-47.8,-355.8,-194.5,-313.6,-456.5,-47.8,-82.8,-85.8,-373.6,-34.8,-33.8,-77.8,-233.6,-353.6,-388.4,-263
Nothing,WeatherGreven,tt2003,-229.6,241.2,-0.1,-216.3,-257.5,241.2,-0.8,-11.8,-477.2,-465,-465,-190.6,-166.2,-203.3,-190.6,-203.3,-4.8,-321.9,-166.2,-243.1,-404.6,-4.8,-8.3,-8.6,-287.7,-3.5,-3.4,-7.8,-190.6,-272.5,-348.7,-247.7
Nothing,WeatherGreven,tt2004,-241.6,189.9,0,-226.6,-271.6,189.9,0,0,-437.2,-425.8,-425.8,-196.6,-167.4,-211.6,-196.6,-211.6,0,-297,-167.4,-256.6,-370.8,0,0,0,-301.6,0,0,0,-196.6,-286.6,-321,-229.8
